Name,Year,Actors
Close Up,1996,"Eric Leffler, Michael Mauro, Will Arnett"
The Great Gatsby,2000,"Mira Sorvino, Martin Donovan, Toby Stephens, Paul Rudd, Francie Swift, William Campbell, Matt Malloy, Jerry Grayson, Janine Theriault, Heather Goldenhersh, Richard Jutras"
The Ice Storm,1997,"Katie Holmes, Kevin Kline, Joan Allen, Sigourney Weaver, Jamey Sheridan, Christina Ricci, Elijah Wood, Tobey Maguire, Adam Hann-Byrd, David Krumholtz, Henry Czerny, Jessica Stone, Wendy Scott, Bill McIntyre, Barbara Neal, Robert Westenberg, Michael Egerman, Christine Farrell, Colleen Camp, Tom Flagg, Larry Pine, Louise Yanofsky, Nancy Opel, Daniel McDonald, Kate Burton, Joe O'Connor, Sarah Thompson, Scott Wentworth, Donna Mitchell, Maia Danziger, Glenn Fitzgerald, Ivan Kronenfeld, Michael Cumpsty, Allison Janney, Marcell Rosenblatt, Evelyn Solann, John Benjamin Hickey, Dennis Gagomiros, Colette Kilroy, Courtney Peldon, Jonathan Freeman, Miles Marek, Barbara Garrick, William Cain, Byron Jennings"
Living Out Loud,1998,"Queen Latifah, Holly Hunter, Martin Donovan, Danny DeVito, Rachael Leigh Cook, Richard Schiff, Elias Koteas, Lin Shaye, Gina Philips, Anthony Russell, Mariangela Pino, Suzanne Shepherd, Eddie Cibrian"
High Fidelity,2000,"Joelle Carter, Joan Cusack, Lili Taylor, John Cusack, Lisa Bonet, Todd Louiso, Tim Robbins, Iben Hjejle, Natasha Gregson Wagner, Jack Black, Sara Gilbert, Catherine Zeta-Jones, Drake Bell, Alex Désert, Chris Bauer, Harold Ramis, Bruce Springsteen, Shannon Stillo, Laura Whyte, Chris Rehmann, Ben Carr, Rich Talarico, Matthew O'Neill, Brian Powell, Margaret Travolta, Jill Peterson, Dick Cusack, Susan Yoo, K. K. Dodds, Marilyn Dodds Frank, Duke Doyle, Aaron Himelstein, Jonathan Herrington, Daniel Lee Smith, Leah Gale, David Darlow, Erik Gundersen, Al Johnson, Ian Belknap, Andrew Micheli, Polly Noonan, Philip Rayburn Smith, Michele Graff, Susie Cusack, Liam Hayes, Damian Rogers, Robert A. Villanueva, Joe Spaulding, Scott A. Martin, Heather Norris, James Azrael, Julie DiJohn, Jennifré DuMont, Mark Finney, Reese Foster, Lisa Harrison, Susan Hegarty, Penny Marshall, Ian Michaels, Tristan Layne Tapscott, Timothy W. Tiedje, Ian Williams"
The Watermelon Woman,1996,"Cheryl Dunye, Guinevere Turner, Camille Paglia, Lisa Marie Bronson, Valarie Walker, Irene Dunye, Cheryl Clarke, Brian Freeman, Sarah Schulman, V.S. Brodie, Shelley Olivier, Toshi Reagon, Emmy Collins, Mickey Goldhaber, K. Brent Hill, Alexandra Juhasz, Gail Lloyd, Christopher Mann, Kat Robertson, Ryan McCabe"
The Infiltrator,1995,"Oliver Platt, Arliss Howard, Tony Haygarth, Peter Riegert, Alex Kingston, Alan King, Julian Glover, Michael Byrne, George Jackos, Anna Melato"
Wildflowers,2000,"Daryl Hannah, Eric Roberts, Clea DuVall, Irene Bedard, Tomas Arana, Alan Gelfant, David Graham, James Burnett, David Wike, Sheila Tousey"
Down in the Delta,1998,"Mary Alice, Al Freeman Jr., Esther Rolle, Alfre Woodard, Wesley Snipes, Loretta Devine, Anne-Marie Johnson, Andrea Lewis, Kulani Hassen, Mpho Koaho, Justin Lord"
A Time for Dancing,2000,"Shane West, Lynn Whitfield, Amy Madigan, Peter Coyote, Shiri Appleby, Larisa Oleynik, Patricia Kalember, Kevin Christy, Scott Vickaryous, Robert Michael Adler, Anton Yelchin"
Passion in the Desert,1998,"Ben Daniels, Michel Piccoli, Nadia Odeh, Paul Meston, Auda Mohammed Badoul, Ismael Al-Hamd, Tasheen Kwalda, Habis Hussein"
Legionnaire,1998,"Adewale Akinnuoye-Agbaje, Nicholas Farrell, Jean-Claude Van Damme, Daniel Caltagirone, Steven Berkoff, Joseph Long, Jim Carter, Mario Kalli, Ana Sofrenovic"
The Wedding,1998,"Halle Berry, Lynn Whitfield, Carl Lumbly, Shirley Knight"
Love & Sex,2000,"Famke Janssen, Jon Favreau, David Schwimmer, Cheri Oteri, Robert Knepper, Noah Emmerich, Vincent Ventresca, Josh Hopkins, Ann Magnuson, Kristen Zang, David J. Steinberg, Elimu Nelson, Don Brunner, Yvonne Zima, Melissa Fitzgerald, Rob Swanson, Will Rothhaar, Rance Howard, Ron Kochevar, Angela Marsden, Troy Blendell, Nicolette Little, Ben Maccabee, Michael Beardsley, Claudia Christian, Norman Fessler"
Alien Nation: Body and Soul,1995,"Eric Pierpoint, Terri Treas, Gary Graham, Michele Scarabelli, Lauren Woodland, Leon Russom, Ron Fassler, Jeff Marcus, Sean Six, Kristin Davis"
Alien Nation: Millennium,1996,"Eric Pierpoint, Jason Behr, Lauren Woodland, Gary Graham, Jeff Marcus, Michele Scarabelli, Sean Six, Ron Fassler, Terri Treas, Jenny Gago, Brian Markinson, Herta Ware, Steven Flynn, Susan Diol, Freda Foh Shen"
Alien Nation: The Enemy Within,1996,"Eric Pierpoint, Terri Treas, Lauren Woodland, Jeff Marcus, Michele Scarabelli, Sean Six, Ron Fassler, Gary Graham"
Alien Nation: The Udara Legacy,1997,"Eric Pierpoint, Terri Treas, Michele Scarabelli, Gary Graham"
The Third Miracle,1999,"Ed Harris, Anne Heche, Armin Mueller-Stahl, Michael Rispoli, Barbara Sukowa"
A Christmas Carol,1997,"Tim Curry, Michael York, Whoopi Goldberg, Ed Asner, Kath Soucie, Jodi Benson"
The Substitute,1996,"Marc Anthony, Raymond Cruz, Richard Brooks, Tom Berenger, Ernie Hudson, Luis Guzmán, Diane Venora, Cliff DeYoung, Glenn Plummer, William Forsythe, Ana Azcuy, Sharron Corley, Vincent Laresca, Maurice Compte, Beau Weaver, Willis Sparks, Noelle Beck, Jim Warne, Jody Wilson, Ian Marioles, María Celedonio, David Spates, David Hayes, Peggy Pope, Nidia Alvarez, Melissa Martinez, Claudia Silva, Enrique Cruz, David Díaz, Lázaro Gómez, Travis Patterson, Simon Ricky, Mercedes Enriquez, Artie Malesci, Rodney A. Grant, Steve DuMouchel, Gustavo Laborie, Juan F. Cejas, Dwight Lauderdale, Margo Peace, Willmer Padilla, Marta Velasco, Mike Benitez, Orlando Delbert, Bryan Friday, Anthony Petzold, Claudio Sad, Frank Silva"
Hell's Kitchen,1998,"Rosanna Arquette, William Forsythe, Johnny Whitworth, Mekhi Phifer, Angelina Jolie, Michael Nicolosi, Jade Yorker, Ryan Slater, Sharif Rashed, Stephen Payne, Stephon Fuller, Al Cayne, Martin Shakar, Ricky Tyberg, Dan Musico"
Finding Graceland,1999,"Gretchen Mol, Bridget Fonda, Harvey Keitel, Johnathon Schaech"
Chutney Popcorn,1999,"Sakina Jaffrey, Jill Hennessy, Madhur Jaffrey, Nisha Ganatra, Nick Chinlund, Cara Buono, Ajay Naidu, Daniella Rich, Monica Bhatia, Cristal Chindamo, Saylor Creswell, Destiny Donovan, Laura Dubrule, Eliza Foss, Vinod Ganatra, Dan Grey, Caran Hartsfield, M. Iqbal, Greg Kachejian, Priscilla Lopez, Alisa Mast, Margo Michaels, Sunita Sunder Mukhi, Heather Parks, Analisa Robertson, Barbara Schofield, Ajay Mehta, Shazia, Amy Veltman, Gabriella Voight"
The Confession,1999,"Alec Baldwin, Ben Kingsley, Amy Irving, Lázaro Pérez, Becky Ann Baker, Anne Twomey, Mark Ethan, Mike Hodge, Ryan Marsini, Boyd Gaines, Kevin Conway, Richard Jenkins, Joe Mosso, Kevin McClarnon, Jay O. Sanders, Ken Marks, Laura Esterman, Christopher Lawford, Marian Quinn, John Seitz, Philip LeStrange, Maurice Carlton, Gerry Bamman, Meg Gibson, Chuck Pfeiffer, Joan MacIntosh, Lara Harris, Jessica Ambrose, Amo Gulinello, Sharon Washington, Tom Tammi, Brian McHugh, Frank Girardeau, Paul Stolarsky, Chris Noth, Nesbitt Blaisdell, Sloane Shelton, James Pritchett, Doug Barron, Johnny Tran, Mike Girard Sheehan, Adele Sammarco, Fermon Judd, Ric Sechrest, Anthony Zaccaro"
The Underneath,1995,"Alison Elliott, Peter Gallagher, Joe Don Baker, William Fichtner, Adam Trese, Paul Dooley, Elisabeth Shue, Shelley Duvall, Richard Linklater"
Men with Guns,1997,"Federico Luppi, Mandy Patinkin, Damián Alcázar, Dan Rivera Gonzalez, Damián Delgado, Tania Cruz, Kathryn Grody, Rafael de Quevedo, Nandi Luna Ramirez, Iguandili Lopez"
The Walking Dead,1995,"Bernie Mac, Joe Morton, Allen Payne, Eddie Griffin, Ion Overman, Vonte Sweet, Roger Floyd, Kyley Jackman"
Passing Glory,1999,"Rip Torn, Andre Braugher, Ruby Dee, Daniel Hugh Kelly, Bill Nunn, Khalil Kain, Sean Squire, Kyle Massey"
Harriet the Spy,1996,"Michelle Trachtenberg, Vanessa Lee Chester, Gregory Smith, Rosie O'Donnell, Nancy Beatty, Robert Joy, J. Smith-Cameron, Charlotte Sullivan, Dov Tiefenbach, Eartha Kitt, Cecilley Carroll, Teisha Kim, Nina Shock, Conor Devitt, Alisha Morrison, Don Francks, Eugene Lipinski, Gerry Quigley, Jackie Richardson, Mercedes Enriquez, Mung-Ling Tsui, Ho Chow, Byron Wong, Paul Sun Hyung Lee, Kim Lieu, Kwok-Wing Leung, Sally Cahill, Roger Clown, Jamie Jones, Bob Windsor, Gladys O'Connor, Vic Ho, Maury Chaykin, Danny Glover"
The Mighty,1998,"Harry Dean Stanton, Elden Henson, Kieran Culkin, Gillian Anderson, James Gandolfini, Gena Rowlands, Sharon Stone, Douglas Bisset, Joseph Perrino, Dov Tiefenbach, Michael Colton, Daniel Lee, Eve Crawford, John Bourgeois, Bruce Tubbe, Rudy Webb, Ron Nigrini, Nadia Litz, Serena Pruyn, Jordan Hughes, Jenifer Lewis, Bryon Bully, Chalaine Porter, Lisa Marie Chen, Lisa Mininni, Ann Chiu, Carl Marotte, Nora Sheehan, Sophie Bennett, William Van Allen, Telmo Miranda"
Soldier Boyz,1995,"Tyrin Turner, Cary-Hiroyuki Tagawa, Michael Dudikoff, Channon Roe, Jacqueline Obradors, David Barry Gray, Demetrius Navarro, Cedrick Terrel, Hank Brandt, Don Stroud, Jeremiah Birkett, Nikki Hansen, Rene L. Moreno, Hillary Matthews, Zen Gesner"
The Omega Code,1999,"Casper Van Dien, Michael York, Devon Odessa, Michael Ironside, Catherine Oxenberg, George Coe, William Hootkins, Ayla Kell, Robert Ito, Steve Franken, Janet Carroll, Jan Tříska, Ross McKerras, Gregory Wagrowski, Jules Mandel"
Reach the Rock,1998,"Alessandro Nivola, William Sadler, Karen Sillas, Bruce Norris, Norman Reedus, Brooke Langton, Richard Hamilton"
Frisk,1995,"Parker Posey, Craig Chester, Alexis Arquette, Raoul O'Connell, Michael Gunther, James K. Lyons"
Beyond Paradise,1998,"Daryl Bonilla, Kalani, Lorenzo Callender, Priscilla K. Basque, Roy Newton"
Dancing in September,2000,"Isaiah Washington, Nicole Ari Parker, Estelle Harris, Marcia Cross, Vicellous Reon Shannon, Jay Underwood, Mel Jackson, Malinda Williams, Aisha Tyler, Constance Marie, Tichina Arnold"
"Same Love, Same Rain",1999,"Ulises Dumont, Soledad Villamil, Ricardo Darín, Eduardo Blanco"
Escape from Hell,2000,"Lori Stober, Dan Kruse, Lauren Edwards, Greg Provance, Bob Lauro, Paul Stober, Julie Jenny, Emilie Jo Tisdale, Robert Seymone, Terry Jernigan"
Body Shots,1999,"Jerry O'Connell, Sean Patrick Flanery, Emily Procter, Tara Reid, Ron Livingston, Amanda Peet, Brad Rowe, Edmund Genest, Larry Joshua, Adina Porter, Sybil Temchen, Joe Basile, Scott Burkholder, Liz Coke, Allison Dunbar, Adam Lieberman, Mark Hicks, Elizabeth Liebel, Marc Lynn, Lou Paget, Benny Quan, Wendy Schenker, Nick Spano, Emmy Collins, Cameron Glenar, Philip Hawn, Rich Knight, Cheryl Rusa, Robert Martin Steinberg, Heidi Van Horne, Dwayne Winstead"
A Slipping-Down Life,1999,"Guy Pearce, Lili Taylor, Sara Rue, John Hawkes, Shawnee Smith, Bruno Kirby, Irma P. Hall, Lew Temple, Veronica Cartwright, Marshall Bell, Clea DuVall, Alicia McCutcheon, Harv Morgan, Tom Bower"
Twisted,1997,"Anthony Crivello, Elizabeth Franz, William Hickey, Ray Aranha, Billy Porter, David Norona, Keivyn McNeill Grayes, Erik Jensen, Sharlene Brown, Elise Ballard, Jean Loup Wolfman"
A Holiday Romance,1999,"Andy Griffith, Gerald McRaney, Alison Pill, Naomi Judd, Jayne Eastwood, Andrea Lewis, Jackie Richardson"
Gold Diggers: The Secret of Bear Mountain,1995,"Christina Ricci, Anna Chlumsky, Polly Draper, Jewel Staite, Diana Scarwid, Brian Kerwin, David Keith"
Isn't She Great,2000,"Amanda Peet, John Cleese, Bette Midler, Nathan Lane, David Hyde Pierce, Stockard Channing, John Larroquette, Christopher McDonald, Paul Benedict, Dina Spybey, Terence Ross, Jeff Ross, Pauline Little, William Hill, Mal Z. Lawrence, Adam Heller, Ellen David, Dan Ziskie, Anna Lobell, David Costabile, Brett Gillen, Olga Merediz, Jacklin Webb, Clebert Ford, Dick Henley, Sonia Benezra, Richard Litt, Maurice Carlton, Edward B. Goldstein, Larry Block, Jack Eagle, Le Clanché du Rand, Elizabeth Lawrence, Helen Stenborg, John Cunningham, Charles S. Doucet, John Moore, Richard McConomy, Lisa Bronwyn Moore, Steven McCarthy, James Villemaire, Karyn Quackenbush, Sam Street, Peter Blaikie, Sheena Larkin, Frank Vincent, David Nessim Lawrence, Debbie Shapiro Gravitte, Mickey Toft, Ricky Mabe, Robin Wilcock, Jude Benny, Jean-Guy Bouchard, Carl Alacchi, Liza Case, Dawn Douglas, Patty Duke, Julia Garland, Susan Hayward, Marlon Sterling Long, Antonio Maltese, Nick Stellate"
Bootmen,2000,"Sam Worthington, Adam Garcia, Sophie Lee, Susie Porter, Vaughan Sheffield, Christian Patterson, Lisa Perry, Bruce Venables, William Zappa, Catherine Ajaka, Luke Alleva, Kurt Bardrick, Danika Beckett, Angela Blake, Sam Buckley, Steve Coppin, Michael Edge, Trent Harlow, Raena Hartley, Camilla Jakimowicz, Rebecca Joncevski, Victoria Kerlin, Nardia Knapman, Nardia Knapman, Deborah Lean, Beth Lennon, Stephanie Pearce, Renae Perry, Tiara Perry-Coates, Tiara Perry-Coates, Rebecca Phillips, Kiona Potter, Anouska Reid, Anouska Reid, Kristy Taylor, Tanya Thomson, Geraldine Timmons, Jacinda van Drongelen, Casey White, Asha Zappa, Christopher Horsey, Matt Lee, Justine Clarke, Andrew Doyle, Anthony Hayes, Craig Anderson, Jonno Zissler, Richard Carter, Harry Dakanalis, Lee McDonald, Drew Kaluski, Dein Perry, Kelly Aykers, Sally Clark, Stephen Davison, Aaron Farley, Robyn Forsythe, Steve Grace, Steve Grace, Leanne Halloran, Keith Hawley, Tia Jordan, Ian Knowles, Tracie Morley, Tracie Morley, Lawrence Stark, Robert Sturrock, Peta Webb, Ian Sandercoe, Paul Elliot, David Carter, Craig Lancaster, Renee Armstrong, Jana Bilios, Charde Doherty, Sheylea Forrest, Rebecca Graham, Brad Green, Rebecca Mahony, Shelley McShane, Chiara Da Ros, Danielle Da Ros, Adam Scown, Rebecca Tapia, Celeste Tesoriero, Laura Ventimiglia, Penny Martin, Bianca Nacson, Camilla Freeman, Kenny Porter, Grant Walmsley, Melinda Kennings, Salvatore Coco, Tahree Adamthwaite, Rebecca Harris, Angela Hestelow, Claudia Lawson, Melinda Lock, Melissa McDonald, Jade McFadden"
Wonder Boys,2000,"Tobey Maguire, Michael Douglas, Katie Holmes, Frances McDormand, Rip Torn, Jane Adams, Robert Downey Jr., June Hildreth, Richard Thomas, George Grizzard, Bill Velin, Michael Cavadias, Philip Bosco, Alan Tudyk, Charis Michelsen, Yusuf Gatewood, Richard Knox, Kelly Bishop"
She Cried No,1996,"Candace Cameron-Bure, Mark-Paul Gosselaar, Lawrence Pressman, Scott Gurney, Bess Armstrong, Jenna von Oÿ, Nikki Cox, Ray Baker, Brandon Douglas, Julie St. Claire"
"Cry, the Beloved Country",1995,"James Earl Jones, Richard Harris, Charles S. Dutton, Vusi Kunene, Dambisa Kente, Leleti Khumalo, Tsholofelo Wechoemang, Dolly Rathebe, Ramalao Makhene, Jack Robinson, Jennifer Steyn, Patrick Ndlovu, Darlington Michaels, King Twala, Somizi Mhlongo, Sam Ngakane, John Whiteley, Lillian Dube, Tembsie Times, Tiny Masilio, Fats Bookholane, George Phologane, Morena Sefatsa, Sydney Chama, Moses Rakharebe, Ron Smerczak, Tobias Sikwayo, Anne Curteis, Abigail Kubeka, Jerry Mofokeng, Grace Mahlaba, Ian Roberts, Jonathan Rands, Shirley Johnston, Ben Kruger, Dan Robbertse, Eric Miyeni, Patrick Shai, Robert Whitehead, David Clatworthy, Themba Ndaba, Louis Seboko, Graham Armitage, Greg Latter, Thomas Hall, Chris Steyn, Antonio Rodrigues, Stuart Monthieth, Alfred D. Nokwe, Lorraine Nyathikazi, David Phetoe"
Girls Town,1996,"Lili Taylor, Carl Kwaku Ford, Shondalin, Ramya Pratt, Guillermo Díaz, Idina Harris, Aunjanue Ellis, Asia Minor, Anna Grace"
Hugo Pool,1997,"Patrick Dempsey, Robert Downey Jr., Alyssa Milano, Malcolm McDowell, Cathy Moriarty, Richard Lewis, Sean Penn, Ann Magnuson"
Sweet Temptation,1996,"Jenny Lewis, Rob Estes, Meadow Sisto, Beverly D'Angelo"
The Stars Fell on Henrietta,1995,"Aidan Quinn, Billy Bob Thornton, Frances Fisher, Robert Duvall, Brian Dennehy, Francesca Eastwood, Lexi Randall, Kaytlyn Knowles, Joe Stevens, Victor Wong"
Perfect Body,1997,"Brett Cullen, Amy Jo Johnson, Cathy Rigby, Ray Baker, Wendie Malick, Tara Boger, Chelsea Hobbs"
Miss Evers' Boys,1997,"Alfre Woodard, Laurence Fishburne, Obba Babatunde, Ossie Davis, E. G. Marshall, Craig Sheffer, Joe Morton, Donzaleigh Abernathy"
Entertaining Angels: The Dorothy Day Story,1996,"Heather Graham, Moira Kelly, Lenny Von Dohlen, Martin Sheen, Tracey Walter, Brian Keith, Geoffrey Blake, Melinda Dillon, Paul Lieber, James Lancaster, Boyd Kestner, Renée Estevez"
The Thin Blue Lie,2000,"Randy Quaid, Rob Morrow, G.W. Bailey, Al Waxman, Paul Sorvino, Beau Starr, Chuck Shamata, Cynthia Preston, Louis Di Bianco, Philip Granger, Barry Wiggins"
12 Angry Men,1997,"William Petersen, Tony Danza, Dorian Harewood, James Gandolfini, Armin Mueller-Stahl, Courtney B. Vance, Jack Lemmon, George C. Scott, Edward James Olmos, Mary McDonnell, Mykelti Williamson, Hume Cronyn, Ossie Davis"
Holiday Heart,2000,"Ving Rhames, Alfre Woodard, Mykelti Williamson, Blu Mankuma, Johnathan Wesley Wallace, Phil Hayes, Jesika Reynolds, Peter Williams, Rhys Williams"
On the Edge of Innocence,1997,"James Marsden, Kellie Martin, Vince Vieluf, Clea DuVall, Joshua Jackson"
Last Stand at Saber River,1997,"Suzy Amis, Tom Selleck, Harry Carey Jr., Tracey Needham, Patrick Kilpatrick, Keith Carradine, Haley Joel Osment, David Carradine, Chris Stacy, Rachel Duncan"
Having Our Say: The Delany Sisters' First 100 Years,1999,"Ruby Dee, Diahann Carroll, Amy Madigan, Lisa Arrindell Anderson, Audra McDonald, Mykelti Williamson, Lonette McKee, Richard Roundtree, Della Reese, Cameron Arnett, Annie Joe Edwards, Sharlease Collier, Brandon Crawford, Cordereau Dye, Carter Gaston, Nate Bynum, Thomas Clark, Micki Grant, Kiara Harris, April Jones, Rebecca Koon, Patty Mack, Lizan Mitchell, Terry Nienhuis, Haleigh Porter, Clifton Powell, Alison Robertson, Bumper Robinson, Christopher Simmons, Bobby Tyson, Alex Van, Camille O. Cosby, Tasha Holland, Tiffany LeShai McMinn"
Public Enemies,1996,"Eric Roberts, Alyssa Milano, Theresa Russell, James Marsden"
The Surrogate,1995,"Alyssa Milano, Connie Sellecca, Vincent Ventresca"
The Loss of Sexual Innocence,1999,"Julian Sands, Saffron Burrows, Jonathan Rhys Meyers, Kelly Macdonald, Bernard Hill, Gina McKee, John Cowey, Stefano Dionisi, Dickson Osa-Omorogbe, Femi Ogunbanjo, Hanne Klintoe, Johanna Torell"
Deadly Sins,1995,"David Keith, Alyssa Milano, Jennifer Copping"
Common Bonds,1997,"Kate McKinney, William Teagardin, Charles Rome Smith, Ike Gingrich, Tyler Christopher"
Anna Karenina,1997,"Fiona Shaw, James Fox, Alfred Molina, Mia Kirshner, Sean Bean, Sophie Marceau, Danny Huston"
Montana,1998,"Stanley Tucci, Robin Tunney, Kyra Sedgwick, Robbie Coltrane, Ethan Embry, Raynor Scheine, Karl Geary, Mark Boone Junior, Paul Calderón, Alan Manson, Tovah Feldshuh, Ajay Naidu, John Ritter, Philip Seymour Hoffman, Jerry Grayson, Richard Zobel, Jonathan Hadary, Peter Francis James, Matt O'Toole, Keenan Shimizu"
To Brave Alaska,1996,"Alyssa Milano, Barbara Tyson, Winston Rekert, Timothy Webber, Duncan Fraser, Philip Granger, Paul Dignard, Jason Gaffney, Cameron Bancroft"
Below Utopia,1997,"Justin Theroux, Alyssa Milano, Robert Pine, Ice-T, Tommy Lister, Ron Harper, Jeanette O'Connor, Nicholas Walker"
Here on Earth,2000,"Leelee Sobieski, Chris Klein, Josh Hartnett, Annette O'Toole, Michael Rooker, Bruce Greenwood, Stuart Wilson, Elaine Hendrix, Annie Corley, Jessica Stier, Zach Fehst, Tac Fitzgerald, Erik Eidem, Maureen O'Malley, Ronni Saxon"
Falling Sky,1998,"Patrick Renna, Karen Allen, Brittany Murphy, Jeremy Jordan, Lea Moreno Young, Chris Young, R.D. Robb, Vincent Riotta, Giselle Anthony, Montana Dillenberg, Michael Dempsey, Jennifer Jernigan, Robert Langston, Dianne Kay, Ali Gage, Christina M. Jaeger, Rala Brubaker, Karen Iboshi Preiser, Meredith Murphy, Daniel Raymont, Milene Ragan, Louis A. Rivera, Alex Veadov, Lee Adams, Joshua D. Comen, Ken Markman, Michael J. Corrao, Jeremy Lowe, V.C. Pat Jones"
Goodbye America,1997,"Rae Dawn Chong, Alexis Arquette, Michael York, John Newton, Wolfgang Bodison, Corin Nemec, James Brolin, Maureen Flannigan, Angel Aquino, Nanette Medved"
Twelfth Night: Or What You Will,1996,"Ben Kingsley, Nicholas Farrell, Imelda Staunton, Helena Bonham Carter, Nigel Hawthorne, Imogen Stubbs, Steven Mackintosh, Mel Smith, Toby Stephens, Richard E. Grant, Alan Mitchell, Jeff Hall, Rod Culbertson, Timothy Bentinck, Peter Gunn, Sydney Livingstone, Kyra Sedgwick, James Walker"
Sweet Jane,1998,"Samantha Mathis, Joseph Gordon-Levitt, Bud Cort, William McNamara, Mary Woronov"
"I Like You, I Like You Very Much",1997,Kitakaze Hisanori
The Christmas List,1997,"Rob Stewart, Stella Stevens, Enuka Okuma, Mimi Rogers, Marla Maples"
Two Bits,1995,"Andy Romano, Al Pacino, Mary Elizabeth Mastrantonio, Joe Grifasi, Alec Baldwin, Donna Mitchell, Mary Lou Rosato, Patrick Borriello, Ron McLarty, Jerry Barone, Rosemary De Angelis"
When Andrew Came Home,2000,"Jason Beghe, Park Overall, Seth Adkins, Craig Eldridge, Lynne Deragon, Jeff Clarke, Patrick Chilvers, Carl Marotte"
Gone in the Night,1996,"Ed Asner, Kevin Dillon, Dixie Carter, Shannen Doherty, James Anthony, Michael Brandon, Kevin Brief, Billy Burke, Devon Arielle Cahill, Timothy Carhart"
Blue Rodeo,1996,"Kris Kristofferson, Ann-Margret"
Color of a Brisk and Leaping Day,1996,"Henry Gibson, Michael Stipe, Peter Alexander, John Diehl, Jeri Arredondo, Joan Newmark, Corinne Lorain, Alexandra Bokyun Chun, Diana Larkin"
The Second Civil War,1997,"Beau Bridges, Joanna Cassidy, Denis Leary, James Earl Jones, Phil Hartman, James Coburn, Dan Hedaya, Elizabeth Peña, Kevin Dunn, Ron Perlman, Brian Keith, Kevin McCarthy, William Schallert"
Phoenix,1998,"Anthony LaPaglia, Jeremy Piven, Anjelica Huston, Ray Liotta, Brittany Murphy, Daniel Baldwin, Giovanni Ribisi, Xander Berkeley, Tom Noonan, Giancarlo Esposito, Kari Wührer, Kathryn Joosten"
Melting Pot,1998,"C. C. H. Pounder, Danielle Nicolet, Efren Ramirez, Cliff Robertson, Peter Krause, Lillian Hurst, Una Damon, Annette Murphy, Paul Rodriguez"
Presence of Mind,1999,"Lauren Bacall, Jude Law, Sadie Frost, Harvey Keitel, Jack Taylor, Ella Jones, Dayna Danika, Agustí Villaronga, Tom Keller, María Dulce Roselló, Lydia Zimmermann, Luz Fortuny, Daniel Isidro, Juana Ginzo"
Auggie Rose,2000,"Nancy Travis, Timothy Olyphant, Joe Santos, Anne Heche, Jeff Goldblum, Richard T. Jones, Jack Kehler, Kim Coates"
Gloria,1999,"Jeremy Northam, Cathy Moriarty, Sharon Stone, George C. Scott, Bonnie Bedelia, Barry McEvoy, Mike Starr, Jean-Luke Figueroa, Bobby Cannavale"
Too Rich: The Secret Life of Doris Duke,1999,"Hayden Panettiere, Lauren Bacall"
Ice Angel,2000,"Nancy Kerrigan, Nicholle Tom, Alan Thicke, Tara Lipinski"
No Looking Back,1998,"Lauren Holly, Edward Burns, Susan May Pratt, Jon Bon Jovi, Blythe Danner, Ellen McElduff, Kathleen Doyle, Connie Britton, Nick Sandow, Welker White, Jennifer Esposito"
A Streetcar Named Desire,1995,"Alec Baldwin, John Goodman, Diane Lane, Jessica Lange"
The Last Man,2000,"Jeri Ryan, David Arnott, Dan Montgomery Jr."
The Hi-Lo Country,1999,"Billy Crudup, Sam Elliott, Woody Harrelson, Cole Hauser, Darren E. Burrows, Enrique Castillo, Patricia Arquette, Robert Knott, Jacob Vargas, Will Cascio, James Gammon, Penélope Cruz, John Diehl, Craig Carter, Lane Smith"
Get Your Stuff,2000,"Elaine Hendrix, Patience Cleveland, Cameron Watson, Kimberly Scott, Anthony Meindl, Kelly Packard, Lisa Ann Walter, Grady Hutt, Blayn Barbosa"
Mad City,1997,"Blythe Danner, Jay Leno, William Atherton, Raymond J. Barry, Dustin Hoffman, Mia Kirshner, John Travolta, Alan Alda, Ted Levine, Robert Prosky, Tammy Lauren, Lucinda Jenney, Bingwa, Ebbe Roe Smith, Scanlon Gail, Akosua Busia, Sylvia Short, William O'Leary, Kyla Pratt"
Safe Passage,1995,"Nick Stahl, Jason London, Matt Keeslar, Sam Shepard, Susan Sarandon, Marcia Gay Harden, Sean Astin, Robert Sean Leonard, Christopher Wynkoop, Patricia Reeves, Bill Boggs"
Beat,2000,"Kiefer Sutherland, Courtney Love, Lisa Sheridan, Ron Livingston, Norman Reedus, Kyle Secor, Daniel Martínez, Sam Trammell, Steve Hedden, Alec Von Bargen, Georgiana Sîrbu, Rene Rubio, Patricia Llaca, Pedro Gonzalez, Tommy Perna, Luis Felipe Tovar, Khotan Fernández, Serafina De Lorca, Chano Samoana, Darren Ross, Luisa Huertas"
The Man with the Perfect Swing,1995,"Marco Perella, Suzanne Savoy"
